method,body,path,single_q,double_q,dashes,braces,spaces,badwords,class
GET,b'',b'/_mmServerScripts/',0,0,0,0,0,0,good
GET,b'',b'/Mod_Rewrite_Shop/images/',0,0,0,0,0,0,good
GET,b'',b'/Templates/',0,0,0,0,0,0,good
GET,b'',b'/Connections/',0,0,0,0,0,0,good
GET,b'',b'/.idea/',0,0,0,0,0,0,good
GET,b'',b'/.idea/scopes/',0,0,0,0,0,0,good
GET,b'',b'/CVS/',0,0,0,0,0,0,good
GET,b'',b'/hpp/?pp=12',0,0,0,0,0,0,good
GET,b'',b'/product.php?pic=4',0,0,0,0,0,0,good
GET,b'',b'/listproducts.php?artist=3',0,0,0,0,0,0,good
GET,b'',b'/product.php?pic=1',0,0,0,0,0,0,good
GET,b'',b'/listproducts.php?artist=2',0,0,0,0,0,0,good
GET,b'',b'/hpp/params.php?aaaa%2f=1',0,0,0,0,0,0,good
GET,b'',b'/hpp/params.php?p=valid&pp=12',0,0,0,0,0,0,good
GET,b'',b'/Mod_Rewrite_Shop/Details/web-camera-a4tech/2/',0,0,0,0,0,0,good
GET,b'',b'/Mod_Rewrite_Shop/Details/network-attached-storage-dlink/1/',0,0,0,0,0,0,good
GET,b'',b'/Mod_Rewrite_Shop/Details/color-printer/3/',0,0,0,0,0,0,good
POST,b'addcart=1&price=500',b'/cart.php',0,0,0,0,0,0,good
POST,b'addcart=4&price=1000',b'/cart.php',0,0,0,0,0,0,good
GET,b'',b'/Mod_Rewrite_Shop/BuyProduct-2',0,0,0,0,0,0,good
GET,b'',b'/Mod_Rewrite_Shop/RateProduct-1.html',0,0,0,0,0,0,good
GET,b'',b'/Mod_Rewrite_Shop/RateProduct-2.html',0,0,0,0,0,0,good
GET,b'',b'/Mod_Rewrite_Shop/BuyProduct-1',0,0,0,0,0,0,good
GET,b'',b'/Mod_Rewrite_Shop/BuyProduct-3',0,0,0,0,0,0,good
GET,b'',b'/Mod_Rewrite_Shop/RateProduct-3.html',0,0,0,0,0,0,good
GET,b'',b'/Mod_Rewrite_Shop/BuyProduct-1/',0,0,0,0,0,0,good
GET,b'',b'/Mod_Rewrite_Shop/BuyProduct-2/',0,0,0,0,0,0,good
GET,b'',b'/Mod_Rewrite_Shop/BuyProduct-3/',0,0,0,0,0,0,good
POST,"b'<xml><node name=""nodename1"">nodetext1</node><node name=""nodename2"">nodetext2</node></xml>'",b'/AJAX/showxml.php',0,4,0,0,2,0,good
GET,b'',b'/comment.php?aid=2',0,0,0,0,0,0,good
GET,b'',b'/comment.php?pid=4',0,0,0,0,0,0,good
GET,b'',b'/comment.php?aid=3',0,0,0,0,0,0,good
GET,b'',b'/comment.php?pid=7',0,0,0,0,0,0,good
GET,b'',b'/comment.php?pid=5',0,0,0,0,0,0,good
GET,b'',b'/',0,0,0,0,0,0,good
GET,b'',b'/',0,0,0,0,0,0,good
